纯真网络2014年8月5日IP数据
index total:  445065

10.143.16.175 局域网 对方和您在同一内部网
10.16.45.12 局域网 对方和您在同一内部网
10.16.45.23 局域网 对方和您在同一内部网
101.199.127.167 北京市 奇虎360科技有限公司
103.12.211.57 印度  CZ88.NET
104.192.0.18 北美地区  CZ88.NET
110.212.157.126 广西柳州市 铁通
110.212.16.66 广西南宁市 铁通
110.212.28.163 广西南宁市 铁通
110.248.178.188 河北省邯郸市 联通
111.1.32.87 浙江省杭州市 移动
111.1.32.88 浙江省杭州市 移动
111.1.32.89 浙江省杭州市 移动
111.1.32.90 浙江省杭州市 移动
111.1.32.92 浙江省杭州市 移动
111.1.36.134 浙江省杭州市 移动
111.1.36.135 浙江省杭州市 移动
111.1.36.6 浙江省杭州市 移动
111.1.36.9 浙江省杭州市 移动
111.11.119.49 河北省 移动
111.11.188.242 甘肃省 移动
111.11.189.15 甘肃省天水市 移动
111.11.189.46 甘肃省天水市 移动
111.11.250.176 西藏 移动
111.11.95.94 河北省唐山市 移动
111.11.96.146 河北省 移动
111.137.224.47 黑龙江省 铁通
111.137.96.83 黑龙江省牡丹江市 铁通
111.14.146.205 山东省济南市 移动
111.14.68.98 山东省济南市 移动
111.15.159.106 山东省 移动
111.16.131.242 山东省威海市 移动
111.16.169.112 山东省威海市 移动
111.16.233.192 山东省威海市 移动
111.17.14.101 山东省泰安市 移动
111.17.166.236 山东省德州市 移动
111.17.196.254 山东省济宁市 移动
111.17.207.36 山东省 移动
111.17.21.124 山东省泰安市 移动
111.20.137.30 陕西省汉中市 移动
111.20.138.90 陕西省延安市延川县 移动
111.20.176.104 陕西省西安市 移动
111.20.186.21 陕西省宝鸡市 移动
111.20.188.171 陕西省汉中市 移动
111.20.189.35 陕西省安康市旬阳县 移动
111.20.63.74 陕西省 移动
111.22.152.196 湖南省邵阳市 移动
111.22.152.47 湖南省邵阳市 移动
111.22.159.102 湖南省邵阳市 移动
111.22.166.189 湖南省邵阳市 移动
111.22.2.141 湖南省 移动
111.22.201.161 湖南省邵阳市 移动
111.22.221.176 湖南省邵阳市 移动
111.23.101.4 湖南省邵阳市 移动
111.23.200.166 湖南省怀化市 移动
111.23.200.199 湖南省怀化市 移动
111.23.200.210 湖南省怀化市 移动
111.23.24.170 湖南省邵阳市 移动
111.26.30.113 中国 移动
111.26.30.22 中国 移动
111.3.149.240 浙江省台州市 移动
111.30.7.11 天津市 移动
111.31.245.249 天津市 移动
111.34.48.26 山东省济南市 移动
111.37.0.35 山东省烟台市 移动
111.37.1.16 山东省烟台市 移动
111.37.10.13 山东省烟台市 移动
111.37.11.48 山东省烟台市 移动
111.37.12.114 山东省烟台市 移动
111.37.12.205 山东省烟台市 移动
111.37.12.49 山东省烟台市 移动
111.37.12.69 山东省烟台市 移动
111.37.16.171 山东省济南市 移动
111.37.2.71 山东省烟台市 移动
111.37.20.188 山东省济南市 移动
111.37.20.61 山东省济南市 移动
111.37.21.104 山东省济南市 移动
111.37.21.60 山东省济南市 移动
111.37.24.128 山东省济南市 移动
111.37.25.72 山东省济南市 移动
111.37.3.127 山东省烟台市 移动
111.37.4.178 山东省烟台市 移动
111.37.8.46 山东省烟台市 移动
111.37.9.173 山东省烟台市 移动
111.37.9.176 山东省烟台市 移动
111.37.9.183 山东省烟台市 移动
111.38.136.211 安徽省蚌埠市 移动
111.38.43.231 安徽省 移动
111.39.105.21 安徽省滁州市凤阳县 移动
111.39.236.86 安徽省 移动
111.40.120.37 黑龙江省齐齐哈尔市 移动
111.40.66.70 黑龙江省齐齐哈尔市泰来县 移动
111.42.140.15 黑龙江省 移动(全省通用)
111.42.140.62 黑龙江省 移动(全省通用)
111.42.140.69 黑龙江省 移动(全省通用)
111.42.140.96 黑龙江省 移动(全省通用)
111.42.200.41 黑龙江省 移动(全省通用)
111.43.12.131 黑龙江省大庆市 移动
111.43.215.174 黑龙江省 移动(全省通用)
111.43.220.157 黑龙江省 移动(全省通用)
111.44.234.137 青海省西宁市 移动
111.44.234.159 青海省西宁市 移动
111.44.235.193 青海省西宁市 移动
111.44.235.201 青海省西宁市 移动
111.44.235.49 青海省西宁市 移动
111.44.237.27 青海省西宁市 移动
111.46.186.238 湖北省武汉市 移动
111.5.110.237 河南省郑州市 移动
111.5.204.111 河南省新乡市 移动
111.51.26.206 宁夏 移动
111.52.116.115 山西省 移动
111.52.116.27 山西省 移动
111.52.116.70 山西省 移动
111.56.14.114 内蒙古 移动
111.58.1.120 广西南宁市 移动
111.58.132.202 广西 移动
111.58.210.219 广西贵港市 移动
111.58.236.208 广西贵港市 移动
111.58.47.216 广西玉林市 移动
111.59.141.114 广西南宁市 移动
111.59.224.77 广西 移动
111.6.187.73 河南省焦作市 移动
111.6.20.248 河南省南阳市 移动
111.63.18.141 河北省承德市 移动
111.63.5.110 河北省承德市 移动
111.7.224.192 河南省郑州市 移动
111.7.224.80 河南省郑州市 移动
111.7.239.147 河南省郑州市 移动
111.7.242.241 河南省郑州市 移动
111.7.242.243 河南省郑州市 移动
111.7.246.121 河南省郑州市 移动
111.7.248.150 河南省 移动
111.8.123.94 湖南省 移动
111.8.124.26 湖南省 移动
111.8.125.187 湖南省 移动
111.8.126.70 湖南省 移动
111.8.16.3 湖南省长沙市 移动
111.8.160.230 湖南省娄底市 移动
111.8.160.239 湖南省娄底市 移动
111.8.160.77 湖南省娄底市 移动
111.8.165.12 湖南省邵阳市 移动
111.8.2.136 湖南省长沙市 移动
111.8.2.137 湖南省长沙市 移动
111.8.2.138 湖南省长沙市 移动
111.8.2.139 湖南省长沙市 移动
111.8.2.150 湖南省长沙市 移动
111.8.209.35 湖南省张家界市 移动
111.8.216.157 湖南省怀化市 移动
111.8.217.242 湖南省怀化市 移动
111.8.47.37 湖南省长沙市 移动
111.9.184.153 四川省泸州市 移动
111.9.184.42 四川省泸州市 移动
111.9.185.131 四川省泸州市 移动
111.9.190.206 四川省广元市 移动
111.9.40.186 四川省成都市 移动
112.0.110.73 江苏省无锡市 移动
112.0.219.211 江苏省连云港市 移动
112.0.88.134 江苏省镇江市 移动
112.0.89.163 江苏省镇江市 移动
112.0.89.212 江苏省镇江市 移动
112.0.91.126 江苏省镇江市 移动
112.0.91.48 江苏省镇江市 移动
112.1.198.30 江苏省无锡市 移动
112.17.0.206 中国 移动
112.17.0.207 中国 移动
112.17.0.208 中国 移动
112.17.0.209 中国 移动
112.17.0.211 中国 移动
112.17.0.212 中国 移动
112.17.0.68 中国 移动
112.17.0.73 中国 移动
112.18.194.4 陕西省西安市 移动
112.19.227.150 陕西省 移动
112.2.101.111 江苏省扬州市 移动
112.2.101.169 江苏省扬州市 移动
112.2.167.136 江苏省徐州市 移动
112.2.173.65 江苏省徐州市 移动
112.2.244.2 江苏省南京市 移动
112.2.64.110 江苏省南京市 移动
112.2.98.109 江苏省扬州市 移动
112.2.98.34 江苏省扬州市 移动
112.20.155.58 江苏省南京市 移动
112.20.187.50 江苏省南京市 移动
112.20.4.178 江苏省泰州市 移动
112.21.176.105 江苏省常州市 移动
112.21.192.207 江苏省连云港市 移动
112.21.249.145 江苏省盐城市 移动
112.22.132.69 江苏省苏州市 移动
112.22.58.45 江苏省扬州市 移动
112.22.63.121 江苏省扬州市 移动
112.22.68.48 江苏省无锡市 移动
112.23.115.245 江苏省南京市 移动
112.23.231.141 江苏省南京市 移动
112.23.30.136 江苏省宿迁市 移动
112.23.58.96 江苏省淮安市 移动
112.24.120.175 江苏省盐城市 移动
112.24.121.243 江苏省盐城市 移动
112.24.140.146 江苏省无锡市 移动
112.24.147.79 江苏省无锡市 移动
112.24.181.190 江苏省扬州市 移动
112.24.188.14 江苏省扬州市 移动
112.24.189.127 江苏省扬州市 移动
112.24.33.163 江苏省徐州市 移动
112.24.65.93 江苏省连云港市 移动
112.25.137.21 江苏省苏州市 移动
112.26.65.106 江苏省 移动
112.26.65.142 江苏省 移动
112.26.65.198 江苏省 移动
112.3.1.61 江苏省无锡市 移动
112.3.145.8 江苏省扬州市 移动
112.3.150.119 江苏省扬州市 移动
112.3.150.187 江苏省扬州市 移动
112.3.151.55 江苏省扬州市 移动
112.3.165.206 江苏省盐城市 移动
112.3.169.191 江苏省盐城市 移动
112.3.197.112 江苏省苏州市 移动
112.3.197.171 江苏省苏州市 移动
112.3.219.92 江苏省苏州市 移动
112.3.25.164 江苏省宿迁市 移动
112.3.87.140 江苏省常州市 移动
112.3.94.87 江苏省常州市 移动
112.36.83.159 山东省泰安市 移动
112.37.89.185 山东省德州市 移动
112.4.104.112 江苏省泰州市 移动
112.4.104.172 江苏省泰州市 移动
112.4.104.220 江苏省泰州市 移动
112.4.104.38 江苏省泰州市 移动
112.4.16.10 江苏省南京市 移动
112.4.16.163 江苏省南京市 移动
112.4.16.166 江苏省南京市 移动
112.4.16.167 江苏省南京市 移动
112.4.16.173 江苏省南京市 移动
112.4.16.174 江苏省南京市 移动
112.4.16.182 江苏省南京市 移动
112.4.16.21 江苏省南京市 移动
112.4.16.22 江苏省南京市 移动
112.4.16.23 江苏省南京市 移动
112.4.16.24 江苏省南京市 移动
112.4.16.25 江苏省南京市 移动
112.4.2.11 江苏省南京市 移动
112.4.2.12 江苏省南京市 移动
112.4.2.13 江苏省南京市 移动
112.44.101.115 四川省 移动
112.44.197.186 四川省绵阳市 移动
112.5.100.3 福建省三明市 移动
112.5.111.17 福建省莆田市 移动
112.5.193.44 福建省南平市 移动
112.53.64.246 山东省德州市 移动
112.53.72.164 山东省德州市 移动
112.53.72.36 山东省德州市 移动
112.53.82.104 山东省德州市 移动
112.53.82.130 山东省德州市 移动
112.6.209.199 中国 移动
112.7.126.71 中国 移动
112.7.211.98 中国 移动
112.7.69.217 中国 移动
112.8.136.33 中国 移动
112.8.177.122 中国 移动
112.8.181.111 中国 移动
112.8.192.23 中国 移动
112.8.32.32 中国 移动
112.8.45.59 中国 移动
112.82.55.38 江苏省盐城市 联通
114.250.85.22 北京市 联通
115.238.250.120 浙江省丽水市 电信IDC机房
117.131.44.116 上海市 移动
117.131.77.180 上海市 移动
117.135.212.50 贵州省贵阳市白云区 移动
117.135.225.1 贵州省 移动
117.135.227.10 贵州省黔东南州 移动
117.135.227.6 贵州省黔东南州 移动
117.135.227.9 贵州省黔东南州 移动
117.135.231.49 贵州省毕节地区 移动
117.135.231.51 贵州省毕节地区 移动
117.135.235.16 贵州省 移动
117.136.0.141 北京市 移动
117.136.0.152 北京市 移动
117.136.0.31 北京市 移动
117.136.0.34 北京市 移动
117.136.0.35 北京市 移动
117.136.0.60 北京市 移动
117.136.0.96 北京市 移动
117.136.0.97 北京市 移动
117.136.1.121 天津市 移动
117.136.1.127 天津市 移动
117.136.1.195 天津市 移动
117.136.1.235 天津市 移动
117.136.1.33 天津市 移动
117.136.1.40 天津市 移动
117.136.1.42 天津市 移动
117.136.1.50 天津市 移动
117.136.1.81 天津市 移动
117.136.1.93 天津市 移动
117.136.11.163 福建省福州市 移动
117.136.11.166 福建省福州市 移动
117.136.11.168 福建省福州市 移动
117.136.11.169 福建省福州市 移动
117.136.11.170 福建省福州市 移动
117.136.11.172 福建省福州市 移动
117.136.11.173 福建省福州市 移动
117.136.11.194 福建省福州市 移动
117.136.11.195 福建省福州市 移动
117.136.11.198 福建省福州市 移动
117.136.11.2 福建省福州市 移动
117.136.11.3 福建省福州市 移动
117.136.11.64 福建省福州市 移动
117.136.11.65 福建省福州市 移动
117.136.11.66 福建省福州市 移动
117.136.11.67 福建省福州市 移动
117.136.11.78 福建省福州市 移动
117.136.11.83 福建省福州市 移动
117.136.12.192 广东省广州市 移动
117.136.12.195 广东省广州市 移动
117.136.13.139 海南省海口市 移动
117.136.13.144 海南省海口市 移动
117.136.13.145 海南省海口市 移动
117.136.13.154 海南省海口市 移动
117.136.13.182 海南省海口市 移动
117.136.13.184 海南省海口市 移动
117.136.13.185 海南省海口市 移动
117.136.13.187 海南省海口市 移动
117.136.13.246 海南省海口市 移动
117.136.13.248 海南省海口市 移动
117.136.13.27 海南省海口市 移动
117.136.14.102 广西钦州市 移动
117.136.14.128 广西钦州市 移动
117.136.14.129 广西钦州市 移动
117.136.14.130 广西钦州市 移动
117.136.14.131 广西钦州市 移动
117.136.14.161 广西钦州市 移动
117.136.14.177 广西钦州市 移动
117.136.14.50 广西钦州市 移动
117.136.14.54 广西钦州市 移动
117.136.14.74 广西钦州市 移动
117.136.14.75 广西钦州市 移动
117.136.14.76 广西钦州市 移动
117.136.14.77 广西钦州市 移动
117.136.14.79 广西钦州市 移动
117.136.14.81 广西钦州市 移动
117.136.14.83 广西钦州市 移动
117.136.14.98 广西钦州市 移动
117.136.14.99 广西钦州市 移动
117.136.15.10 四川省成都市 移动
117.136.15.48 四川省成都市 移动
117.136.15.59 四川省成都市 移动
117.136.15.85 四川省成都市 移动
117.136.15.90 四川省成都市 移动
117.136.16.193 云南省昆明市 移动
117.136.16.194 云南省昆明市 移动
117.136.16.197 云南省昆明市 移动
117.136.16.208 云南省昆明市 移动
117.136.16.216 云南省昆明市 移动
117.136.16.220 云南省昆明市 移动
117.136.17.134 贵州省贵阳市 移动
117.136.17.139 贵州省贵阳市 移动
117.136.17.234 贵州省贵阳市 移动
117.136.17.235 贵州省贵阳市 移动
117.136.18.22 西藏拉萨市 移动
117.136.18.23 西藏拉萨市 移动
117.136.18.40 西藏拉萨市 移动
117.136.19.100 江苏省南京市 移动
117.136.19.105 江苏省南京市 移动
117.136.19.107 江苏省南京市 移动
117.136.19.108 江苏省南京市 移动
117.136.19.112 江苏省南京市 移动
117.136.19.113 江苏省南京市 移动
117.136.19.115 江苏省南京市 移动
117.136.19.118 江苏省南京市 移动
117.136.19.121 江苏省南京市 移动
117.136.19.123 江苏省南京市 移动
117.136.19.124 江苏省南京市 移动
117.136.19.126 江苏省南京市 移动
117.136.19.127 江苏省南京市 移动
117.136.19.142 江苏省南京市 移动
117.136.19.149 江苏省南京市 移动
117.136.19.166 江苏省南京市 移动
117.136.19.177 江苏省南京市 移动
117.136.19.178 江苏省南京市 移动
117.136.19.180 江苏省南京市 移动
117.136.19.182 江苏省南京市 移动
117.136.19.2 江苏省南京市 移动
117.136.19.203 江苏省南京市 移动
117.136.19.207 江苏省南京市 移动
117.136.19.3 江苏省南京市 移动
117.136.19.37 江苏省南京市 移动
117.136.19.4 江苏省南京市 移动
