4.3	117.136.22.195.39582	[1, 1, 1, 1, 1, 1, 2, 1, 1, 1]
4.2.2	117.151.164.180.44428	[1, 1]
4.2.2	117.151.164.180.42051	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
4.3	117.136.6.202.19464	[1, 1]
4.1.2	183.211.19.42.48345	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
4.3	117.136.22.195.41199	[1, 1, 1, 1, 1, 3, 1, 1]
2.3.4	223.104.20.132.63317	[1, 1, 1, 1, 1, 1, 1]
4.4.2	183.212.137.147.33230	[1, 1]
4.4.2	183.212.137.147.39244	[1, 1]
4.3	117.136.22.195.41072	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
4.3	120.210.169.209.44852	[1, 1, 1, 1, 1, 1, 1, 1, 2]
4.2.1	183.196.224.2.40336	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
4.2.2	117.136.65.78.58924	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]
2.3.6	117.174.243.233.50510	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
4.3	117.136.22.195.46270	[1, 1, 1, 1, 1, 1, 1, 1]
4.4.2	183.198.160.64.30507	[1, 1, 1, 1, 1, 1]
4.1.2	117.136.7.33.22520	[1, 1, 1, 2, 1, 1]
2.2.2	223.104.4.34.32062	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
4.0.4	218.205.23.145.64758	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
4.0.3	117.136.37.101.2111	[1, 1]
4.0.4	218.205.23.145.64759	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
4.2.2	117.136.33.58.24356	[1, 1, 1, 2, 1, 1]
2.2.2	117.136.11.2.18056	[1, 1, 1, 1, 1, 1, 1]
4.3	117.136.33.49.63774	[1, 1]
4.4.2	223.104.19.17.28881	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
4.2.2	117.136.25.201.42046	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
4.0.3	117.178.6.66.47313	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2.3.7	223.85.142.178.5287	[1, 1, 1]
4.2.2	223.104.10.189.62202	[1, 1, 1, 1]
